标题	详情
什么玩意儿	匹配机制能不能改改连赢之后必定连输我们这些单生狗去哪儿找队友只有单排这是唯一一个不看技术能把心态玩崩的游戏
卡比游戏 垃圾游戏	一玩就卡一玩就卡垃圾游戏
玩了三年的游戏 现在真的好累啊 打不过对手骂不过队友莫名其妙被扣信誉分	先谈谈这两天的感受，排位你带什么技能选什么英雄不和队友意见就会被问候家人，人家骂人有技巧咱也不知道反正就是客服不管。举报没用尤其是V8。还不能还口一下扣你八分以上。经历几次把对内聊天功能关闭，那么问题来了。被对手碾压说你故意送人头不参团客服判定，麻烦你们判定时候能不能看看录像。为什么死对面不是四个就是五个强杀你，边路发育1-6-1扣八分系统判断你不团。给出评分三点几。打野1-5-1系统评分六点几咱也不知道能不能举报反正没举报。被碾压也不能单单怪一个人。垃圾游戏
王者废游	这游戏玩了三年多，排位匹配机制能够气死你！！果断卸载，太没意思，你的付出和回报不成正比！！
垃圾	垃圾游戏，系统本身就是坑；caonm天美，要改进的不只是一点；劝大家趁早卸载了吧
公平游戏？	公平游戏能让人一直连败？
黑屏	排位打一半突然卡 退出去再进就是黑屏 服了
登录系统有问题	微信想更换账号登陆，老是默认登陆。注销登记都没用 。气死了
垃圾游戏	好棒
垃圾游戏	本身挺好的游戏，体验太差，赢了之后必定给你安排几个带不动的队友，差评
游戏体验极差	游戏体验极差
垃圾游戏	这个很垃圾的，系统做了一个算法，每次你赢了很多的时候，系统就会分配垃圾队友，直到你掉了十几个?为止，垃圾游戏，建议大家不要玩这种游戏啦！希望大家能一块抵制这种游戏。
我的童年	身为一个01年的我来说一下自己的童年的吧，那个时候智能手机还没有普及，和几个朋友一起跑也觉得很开心，哪怕现在回头看去看起来很幼稚但那时候的我们真的很开心笑的很真实，现在的05后吧大部分刚出生不久(或者5，6岁)的时候就开始接触手机，整天与手机为伴(虽然我现在也是这样)但我觉得这样的童年过的真的快乐吗？带来的后果真的不会加强人际间关系的冷淡吗，从小就把友情与游戏捆绑在一起的童年过的真的开心吗？
王者个垃圾桶游戏一天不给赢都是输太垃级了比吃鸡还要辣鸡	王者个垃圾桶游戏天天都是输多少连输太辣鸡了比吃鸡还要辣鸡太坑了这个游戏的官方
垃圾游戏什么时候倒闭？	我就想诚挚地问一句，天美这个辣鸡公司什么时候凉凉呢？这个匹配系统让我除了卸游似乎也没什么可做的??祝愿早日爆炸呗
占内存太多	占内存太多
辣鸡匹配系统	匹配系统就跟腾讯那个辣鸡一样 除了辣鸡还是辣鸡
不玩了	下载一晚上 然后重新下载 不玩了
.	队友都坑的要死
辣鸡	辣鸡，优化真差，打个游戏卡成狗，把把460，辣鸡游戏
掉线不能连接	为什么现在掉线都不能连接了
气出心脏病	气出心脏病
空间问题	现在的王者荣耀，已经不是以前的王者荣耀了，标题上写着2.6G，可下载后却5G，好假！！！！
太烂了	越来越差 更新的越来越差 英雄越出越离谱 而且卡的半死 网线好都卡 真的是太烂了 其他游戏都不卡 就这游戏才会卡 真烂
垃圾游戏	破游戏，毁我青春影响我心情我竟然还冲到v5快v6了我被多杀了几次就把把扣我分别人0：10也不扣分举报之后跟我说核实之后没发现送人头你妈逼你能发现啥你就能看到我多死几次就扣分艹
垃圾游戏，又不健康	完全不知道匹配出来什么鬼人来的，不是两个法师就两个射手，要不就狂送人头或挂机，一会又说信号不好，等一下又去听电话。腾讯你快点把游戏下架！
好差	你妹的，此过程不耗流量，怎么会出现网路有问题。
呵呵	早点倒闭吧
辣椒鸡	不知道现在是怎么回事了     一卡一卡的 4g网 加xr
垃圾游戏，钱充越多，遇到的坑越多	垃圾游戏
垃圾	"垃圾游戏
打个排位啥人都有，打野的不打野跟射手辅助三个人在下路呆着打亚瑟，我一个人上路对面甄姬跟后裔，换线还不换，打野的始终不打野，完后还举报你！什么举报机制没见过这么恶心的！一颗星都不想给！"
辣鸡游戏	这游戏真垃圾.打的好了匹配一群猪.双排连胜说找代练封你号.难怪身边朋友都卸载了.去玩吃鸡了.这游戏打一局气的半死不活的.游戏还不公平.我感觉路不长了.在这样下去
坑的很	这个游戏坑的你着不住
坑钱游戏！不充钱都上不去王者！	简直是磨炼人的脾气，什么玩意。要上王者了就匹配各种坑的神级队友。不充钱就上不去了，游戏体验极差！
希望改善不要用在皮肤上	说什么学生坑；现在局局都有挂机还有这游戏机构：队友挂机前抢人头多挂机举报不了，就问6不6。我也算老玩家了。从S3玩到现在才上四次王者每次都晋级赛坑下来现在打匹配天天见练英雄练英雄
网络优化很差的游戏	模仿英雄联盟的游戏，但优化太差，网络稍微不好不会重新连接，能卡一天
故意给一星的	这游戏举报系统不知道有什么用，禁赛也就一天，别人该送人头还是送，该挂机还是挂机，早就想给一星了，说实话我冲到V8感觉喂狗了，微信还在接收着信息突然连接中断直接扣我7分信誉积分，直接卸了，垃圾游戏，这游戏还有给5星的纯粹狗拖
内存问题	占用内存越来越来大了，不好用了，希望可以把内存做小一点！
天天骂你	真是给国产游戏丢人
恶心	什么烂游戏，匹配的段位高的要死恶心??
这什么玩意游戏	真的是一塌糊涂 吐槽的点数不胜数 没救了
渣渣	辅助抢野，给我扣分？闪退也扣？什么破游戏
辣鸡游戏，毁我青春	辣鸡游戏，太垃圾了，玩个游戏输了，被别人坑了，还被别人举报了，然后还被扣了积分，没意思的辣鸡客服
卸载王者荣耀。	这他妈游戏真他妈垃圾。匹配的都他妈是一帮猪的队友。他妈送人头就是挂机。这游戏了。反应那么好几次会怎么回应？立刻马上卸载。
垃圾游戏	辣鸡游戏 辣鸡匹配机制
无兄弟不王者	说是垃圾的一匹，你们信不，不值得一玩信不？因为匹配机制的问题卸载了无数次的玩家，真想给你一分，前天刚刚卸载，今天朋友叫我上分，我又……哎，真香
沙雕游戏	一个沙雕游戏，完全没有什么平衡可言
坑	游戏内的选手不是一般的坑，举报还没卵用，官方对游戏的举报评测是什么要求。分不清举报内容瞎掉分
客服垃圾	游戏匹配机制垃圾，举报机制很垃圾
是不是看不起我苹果系统	玩着玩着突然就卡退了，回来重连的时间家就爆了，差不多半年了还不修
匹配对队友机制垃圾	真的很恶心！连胜几局之后总会匹配让你跪到想吐的队友！
又开始掉线	新版本之后苹果6手机再次出现了掉线情况，希望尽快修复五星纯属为了让别人看到。
王者荣耀	游戏体验太差了，无缘无故被举报禁赛，系统到底有没有好好检测
IPhone 6要被淘汰了吗	发热卡顿，还他妈闪退，玩个鸡儿
系统垃圾	垃圾游戏，别人评分3.9举报不成功。我评分6.5被举报成功！垃圾游戏
垃圾游戏，匹配机制有问题!匹配一群撒币	如题
储存空间太大了	这个储存空间也太大了 像我们这种储存空间特小的人 玩不起……
辣鸡游戏…畜生公司早点倒闭吧	辣鸡游戏…玩个排位不是演员就是挂机那个不熟的英雄就来坑。还举报不了。还说什么会进一步对该玩家进行观察。我日你妈一群狗崽子畜生。
游戏体验极差	刷抖音 看视频都没问题 只要一打排位 一团延迟就460 是你游戏服务器维护不起还是故意针对 我就不明白了上分这么难的吗？ 是钱没充够嘛 我也就个小V8  次次上段 次次卡 我就呵呵 隔壁喜欢机房烧烤 难道你们机房轰趴 ！！！
实在想吐槽一下	玩这么久王者荣耀 有时候我可以连续输十把 队友要么挂机的要么菜的还不如人机 匹配的都是什么人啊 你说匹配一次就算了 连续几把挂机的菜鸡的 谁受的了
举报别人不成功，别人举报次次成	腾讯的游戏都很垃圾，都很花钱，这个还好，不花钱也能玩，但是，举报系统和匹配系统把我们区分对待，都是中国人，为什么他能举报我，我不能举报他的，是我钱充的没他多，是，我认了，腊鸡天美。
垃圾游戏就是王者荣耀	垃圾游戏，垃圾天美，垃圾腾讯垃圾游戏，这垃圾游戏就知道骗钱，大家不要去玩这垃圾游戏了，这垃圾游戏不玩这种垃圾是明智的选择，这垃圾游戏
问题多不解决	游戏里的都是问题，反馈只会用人机敷衍回复几句，完全不会帮助玩家解决问题
游戏整体非常好！略有不足望重视！	无缘无故被恶意举报扣除信誉值导致无法排位。我玩王者荣耀的辅助位置，由于射手太过于激进，不能给予保护导致其多次死亡，被其恶意举报或者被组队恶意举报。作为坦克抗伤害而死被举报送人头，作为辅助回防清兵被举报不参团。真的作为辅助用心打游戏还要被无辜举报真的好心累…望客服正确处理游戏判定，恶意及情绪化举报等行为！
特别好	非常好
信誉制度，很气人。	手机吗难免会有接电话的时候。我每接个电话给我扣16分。如果这把发挥不好也给我随随便便扣2分。然后没办法玩了。每天还只给你涨1分。你说这样怎么玩？
游戏平衡没有 时常会卡顿 对充钱玩家有保护 喜欢充钱的可以玩 喜欢公平竞争的就算了	游戏平衡没有 时常会卡顿 对充钱玩家有保护 喜欢充钱的可以玩 喜欢公平竞争的就算了
好	很不错
闪退	严重闪退每天至少闪退两次！系统扣分！队友举报 ！玩你妹！游戏体验极差！！！一分都不想给
游戏太大	我手机十六g。玩不了。太占内存，我前后卸载了又下载十几次～能不能整小点啊
垃圾	苹果6玩不了了闪退严重问题
ljyx	什么垃圾匹配机制
垃圾游戏安排玩家	天天连败，为了不给你赢还给你安排挂机玩家，真恶心人
坑呀	匹配真的很坑、队友不知道怎么想的、我希望官方可以开发一个能从游戏输赢数据或者投诉数据、把玩家好坏玩家分离
海南安娜一点也不好玩	连Wi-Fi玩。一会就变成460了。一点意思也没有
为啥不能注册吗？	我是外国人，我没有中国身份证，所以因为这个健康系统东西我不能玩儿这个游戏。太不公平了。
吐槽	"为什么系统不一样好友 的信息都看不见了这不行啊
强烈要求改进"
下载不了！	我明明没有下载，却没有下载按钮。应该是下载按钮的地方显示是打开，点打开也没反应
辣鸡游戏，毁我青春	如题
下载不了	卸载完重新下 下载不了 现实打开 文件没卸载干净？
坑	我想知道排位是按照什么打匹配的？天天遇坑，一个坑就算了，三个都是坑，还怎么愉快的玩耍
蔡徐坤	蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐坤鸡你太美
唉，	本来我想评满分，但是我上次花了200个战领币抽皮肤的盒子，一个没抽到，感觉没有游戏体验了。下个赛季我要努力赚战领币，希望我能抽到圣诞狂欢。
辣鸡	辣鸡游戏坑比队友
为什么ipad没有单机	王者荣耀垃圾
我不知道是不是有什么机制	我只知道 单排上到星耀三 一直上不去 还掉回下去 （明明开局顺风顺水 然后问题来了 队友不是去送 就是突然间有个挂机了………很多局都这样 ）还有开局很梦幻的 我打野还没4级 队友全部在线上被杀  ？？？？还有很多种种原因 无论怎么打 反正就是输
闪退	内存明明就够为什么会闪退？后台已经什么都没有在运行了，还是闪退....
卡顿	苹果max都玩不了这个游戏。只能卸载了
垃圾	千万不可玩。别让这游戏控制你   垃圾
腊鸡	马化腾是我复制粘贴来的，
我想对劝退的说一句	"干得漂亮！
   我不懂这游戏怎么了，就为了平衡大众么？打到星耀就死活上不去了，各种奇葩队友：被一楼抢打野 秒选大桥全程跟着人家放二技能、死两个就开始投的、还没进去就说心情不好 稳输等各种神仙。我个人喜欢打中单好多次被上路、下路、打野蹭线，蹭到辅比辅助经济还要低，我就不懂了这种队友怎么混上来的？还说我菜 还把我举报了。如果说我是真菜，那好，那匹配机制是什么鬼，有次我连输十把但是我没把都认真玩，后来恰巧我看了一个特别坑的队友，我发现他不是坑，他比我连输的还要多，看对面两个连赢十几把的，我就想问问平衡不应该一边一个的？你让心态炸的一起玩排到连赢的？（忘记对面是否贵族，是的话难道就是v8的力量）
现已弃坑，没天过得很开心，不用在为了天天排到坑货，看着自己小心翼翼，艰难得来的星星为了莫名其妙的理由掉没了。

       我一个脾气挺好的人，玩久了觉得我就想卢本伟一样了，也或许变秃了也变强了吧。"
学生太多	现在这个游戏不管充多少钱是毫无体验感啊， 成年人坑就坑了毕竟是个游戏，但是我就不明白了 10岁的小孩子也天天玩 为了躲坑 我半夜一点 打排位 还是遇到小孩子拿父母手机玩 不让他玩还不听 被他妈妈打的一直哭 然后就挂机了??真的服气这个游戏
辣鸡游戏，队友不想赢送人头，把我努力赢游戏的人举报了还成功了！我举报这些送人头的还失败了！你们的后台是干什么吃的？辣鸡游戏，辣鸡客服！	辣鸡游戏，队友不想赢送人头，把我努力赢游戏的人举报了还成功了！我举报这些送人头的还失败了！你们的后台是干什么吃的？辣鸡游戏，辣鸡客服！
辣鸡游戏，队友不想赢送人头，把我努力赢游戏的人举报了还成功了！我举报这些送人头的还失败了！你们的后台是干什么吃的？辣鸡游戏，辣鸡客服！	辣鸡游戏，队友不想赢送人头，把我努力赢游戏的人举报了还成功了！我举报这些送人头的还失败了！你们的后台是干什么吃的？辣鸡游戏，辣鸡客服！
1星都多	天气不好，差评
垃圾客服	客服是傻吗，会设身处地想吗？我只想知道哪里投诉客服
众所周知王者荣耀里的匹配机制是出了名的黑	众所周知王者荣耀里的匹配机制是出了名的黑，只要你连赢之后必是连跪，什么骂街队友挂机队友演员啊能匹配到的都给你匹配到。我也是醉了，平衡游戏也不是这么平衡的吧。尽心尽力打一把游戏之后还是输了。真的无爱，什么时候王者荣耀可以意识到这一点？
实名认证是吧？我不玩了！	sb实名认证
王者很好玩。	666
这腊鸡游戏给他星都有点对不起我艹他们大马化腾	腊鸡游戏腊鸡马化腾
卡顿	太占空间，会使手机卡顿现象
今天太阳太大，差评	今天有点热，垃圾王者荣耀
差评差评！！	老是闪退，账号自动登出。一退游在进就是黑屏？神马？你跟我说好玩？？
反反复复卸了无数次的游戏	佛系玩家 以前不玩排位 打打匹配 找到了这个游戏的乐趣 真的 千万别玩排位 以前排位都是别人帮打的 自从自己打排位以后 我就变成暴躁网友了 真是啥人都有 进来秒选c位 还全场最坑 我星星你个大星星 经历了无数次顺风局对面翻盘的情况后 我退游了 告辞
垃圾机制	垃圾机制
死ma腾讯，什么狗匹配机制	我方四个队友渣的要死，对方猛如虎
为什么没有0颗星	ipad需要用QQ hd，但是没有人脸识别，不能验证，下个手机QQ再进去就没有验证页面，需要等一个小时，一个小时后，说什么要休息，禁我一天赛，再也找不到验证页面，我rnmb
神州王者	"玩了很久了 还算可以吧 有时候很有快感  愿望就是想每局都赢
哈哈哈"
别总开发没用的知名度低的新英雄	别总开发没用的和知名度低的新英雄，多开发三国英雄，勾起人们的回忆，别忘了初心。
辣鸡游戏	辣鸡游戏毁我青春
闪退！	为什么老闪退？？？？？
我黄金天天给我匹配钻石星耀王者	我服了 真的  排位还有人挂机 匹配还给我匹配钻石星耀王者。我一个黄金哪能打得过 你能叫对面的黄金跟我打吗。鬼知道跟我打的是不是黄金。打不过还被人骂。想怎样。以前可不是这样的。全世界千千万万个黄金。为什么给我匹配钻石。千千万万个钻石给他匹配个黄金 让他有好的游戏体验感吗。那我没有游戏体验感    还天天有人举报我。我不堪一击。打不过还要被人骂 给人举报 我佛了。谢谢你全家了。这游戏伤了我的心。拜拜
全能选手设置问题	自从新版本加入全能选手这个标志，每打排位遇到的全能选手就只会抢位置，只会玩肉，连王者局都是瞎玩。建议把全能选手的标准设置高一点，不要让每个人都是为了装x而加入全能这个标志。
为什么下载要扣费	下载一个王者荣耀  APP扣了我19块钱
游戏闪退	这个游戏一直闪退！
四年老玩家	QQ登陆的玩家难让你想摔手机要么不输一输就输一直输真的是什么样人都有还是微信好打一些最起码不会输一局就要连输QQ太难打了
无缘闪退、重新进入已经散场。	王者是我接触到第一个游戏！从买iphone6玩到现在，眼睁睁看着王者更改得花里胡哨！越来越卡顿，特别是上个季度更改之后闪退每天至少三次，重新进入还超慢，每次好不容易进来了，以游戏已结束来表示我的无奈。结束就算了，还得记我的分，还得被举报。我只想打个排位而已，容不下我的破手机卸载游戏也不会换手机。
辣鸡王者荣耀	辣鸡王者荣耀
声音	我的ipd怎么没有声音，重新下载也没有，全部还原了也不行，求大神
垃圾游戏	垃圾游戏打排位赢一把输一把
我是服了，	这游戏 每次掉一次线，不到一分钟  画面进得又慢   进去就被说挂机  还被举报 ，有次买个装备一分钟不到 没动  就被人举报了 然后扣了我3分荣誉积分   只要有人举报就会扣分，我是服了   太没意思了
再也不想玩了	2019年6月18日，去看看都给我匹配的什么玩意，多少连跪就不说了，王者荣耀越来越少人玩还是有原因的，越来越恶心
6plus闪退	自从上次进不去排位后，你们说修复Bug，你们的修复结果就是每次玩1-2局后闪退？然后扣信誉分？好强大的修复能力直接把健康系统也加进去了？可是我作为一个成年人应该不受健康系统限制啊！这违反了健康游戏年龄限制条例啊！还是你们想替苹果淘汰旧机型做贡献？再或者是觉得充值到V7对你们已经没价值了？跟你们废话了这么多！算了游戏删了！你们为了赶走玩家也是煞费苦心啊！
垃圾后台	"匹配越来越垃圾
该惩罚的不惩罚，不该惩罚的被举报"
游戏还可以。	我就说一句话，游戏还可以但是你一个手机游戏可以占内存5,,6个G。比一些电脑游戏都大了，按照这个更新情况是不是以后得为你这游戏单独买个手机了？
他老母的	一群坑！破游戏！充钱才能有好队友！
垃圾	什么都没做经常禁止我游戏
就是恶意评分	垃圾的不行，什么匹配机制，什么监管力度，全是扯淡，都不知道队友和对手是不是人类，策划死吗了吧，老玩家心态爆炸，退游戏了，再见，垃圾游戏毁我青春
呵呵，就这还公平游戏？	九连跪直接到钻石呵呵，这种辣鸡匹配机制，祝你们甜美早死，打个鬼的游戏，你们这些开发人员都赶紧去死一死好吗，祝王者荣耀早日关门大吉！！
越更新越垃圾，游戏机制都没做好，皮肤啥的倒是一套一套都	别人1.10.2举报都不带成功的，我用心玩的4.7.2都算送人头，全程在打的也能算挂机真是良心游戏
一星都不想给	对这游戏不知道说什么好了，是我手机里唯一一款游戏，没连胜过，从来也没不连败过，可能就是不想让你赢，单排总能匹配到一堆坑，要不然就是抢位置不会玩的，不想说什么，就当那些钱都白充了，不玩了，
玩这个游戏的都是煞笔	在此祝愿所有的煞笔们早日投胎
再见！农药	弃坑了，创了n个号，作为老玩家，一次又一次的坚持下去，一次又一次的放弃，我该找回自己了
弟弟游戏	天美公司飘了，竟然不支持iPhone6玩这个游戏了，真的是垃圾游戏
垃圾	破游戏 匹配机制有问题 强行五五开 垃圾游戏
科三路考不过，差评	差评
害人不浅	本来设计师以及程序开发很好，但是由于对上线要求不严格，早成小学生严重泛滥！而且还迷茫于充钱的快乐中！这让家庭也造成不好的影响！而对于玩家游戏体验极差！只能说，玩这个游戏全靠运气！分分种气炸你！所以差评！让玩家不爽，你们就别想爽
体验感极差	最近匹配的都是自己同类型的玩家，五个全法师或者全射手，体验感太差了
垃圾	这个游戏越去玩越觉得沙雕，不明白这个游戏好在哪，还那么多人玩，搞不懂啊
垃圾游戏	游戏中需要大量充值最后永远赢不了所以出差评
Xs max延迟问题！！！！	Xs max天天460断流！除非夜深人静的时候玩，白天卡出翔！我现在最大的敌人就是延迟！！！
辣鸡游戏	匹配机制太烂。就知道赚钱。祝你们这帮人不等 好。 四
一直闪退	打10把闪退6把。 特地下载过来给差评
垃圾	我真的服了，垃圾队友，厉害的全在对面，心态炸了真的，臭p游戏，死??了，早点垮吧
一个垃圾游戏	非常垃圾的游戏，充钱也不管用，只会圈钱，非常烂，体验非常差。
卸了不耍了，	人家冲了钱的举报不到，我们没充钱就活该被举报？烂游戏，。  你这还有啥子游戏体验？
最近更新以后，很卡，排查了网络是没问题的	很卡很卡非常卡，害得队友以为我是卧底。。。
辣鸡游戏	就是辣鸡游戏赶紧倒闭吧
坑爹的遊戲	每次匹配到的人都感覺是電腦人一樣，打的烂死了。
垃圾游戏	垃圾游戏，垃圾匹配机制
内存空间	我希望王者在苹果手机上的内存容量小些
越更新越卡，闪退	太失望了……一个竞技游戏非得搞那些不该搞的，把安装包提升到5GB大，并且越来越卡。画面2.0你们确信不是内部为了捞钱做的新设计？卡顿不解决整天就弄些没用的玩意儿
关于举报问题	破游戏，打的不好就能被举报扣分，垃圾队友一直演戏、一直言语辱骂的时候，举报却不成功。这破游戏以后玩家会越来越少的，太不公平！
作为英雄联盟的铂金位！我能在王者荣耀的黄金位停住几年时间！游戏体验极差……什么坑都有！10把挂机的竟然3-4次之多！	作为英雄联盟的铂金位！我能在王者荣耀的黄金位停住几年时间！游戏体验极差……什么坑都有！10把挂机的竟然3-4次之多！
花里胡哨，卡得一匹	越来越占资源，越更新越卡，保留个排位和匹配就行了，那些花里胡哨的谁玩呀
System!!	I’m not Chinese, I just live in China so I don’t have ID number.After last update, I can’t play game because of this reason and I could not login with WeChat too. I spend money and time for this game. I want quick reply about this.
垃圾	不知道这个段位有啥用，匹配垃圾，星耀，王者和黄金段位没有区别。
司马游戏	一些死蠢货少玩点游戏吧，蠢得跟驴一样还不如把手脚剁了，害人害己的蠢狗
新手教学跳不过去，这太坑了	"一妹子约我玩游戏，还了个区，我也后没玩过这个了。必须新手教学。一个连一个，没完没了，坑死我了……
p"
垃圾游戏，闪退，一直闪退。闪退重进就慢的要死，游戏结束后就显示挂机扣分了，这次玩你麻痹	垃圾游戏，闪退，一直闪退。闪退重进就慢的要死，游戏结束后就显示挂机扣分了，这还玩你麻痹
游戏	"太磨叽，每个阶段升级，来来回回十来次不让升上去，再不玩了，套路太深。
还有英雄自己选择的，四个及以上同类型英雄重开，建议去掉重新开局，自己选的自己负责"
目前版本发热卡顿现象严重	目前版本发热卡顿现象严重。望尽快修复
久机型就别玩了	6进游戏半天，终于进了一看还在泉水已经两级，队友都在线上打半天了，赢了还好，输了队友一举报还会有分？不玩了不玩了
更新超级慢。只能卸载了重新下载也慢的不行。	更新超级慢。只能卸载了重新下载也慢的不行。
特臭匹配	这随机匹配的都是什么神仙队友，连跪七把的都有，什么鬼啊
占内存	内存太大了
差评差评	越来越多演员，举报都没用，扣几分根本不影响！最起码扣到禁赛吧！太不人性啦！骂人的多的数不过来！现实生活中不愉快跑游戏里骂人！真是火大
孤儿王者司马	都是点孤儿，垃圾游戏不值得再玩了。
根本不能玩	"什么垃圾游戏，iPadpro 2017玩这破游戏一直断触！发觉键位设计赶不到《虚荣》一半

垃圾游戏匹配算法是什么坑逼玩意，一天到晚匹配坑狗"
1	基本一天闪退个一两次，游戏是好玩的游戏 不知道是不是我手机问题
退游能让你多活几年	"你试过连续一星期排位MVP，可是没有一局胜利吗？
卸载后你才会发现人生多么美好，何必被这种不公平游戏给折磨"
辣鸡游戏	一个pvp游戏，整了5点多个g，瘦身吧，辣鸡
闪退	今天我的xr竟然闪退了
影响心情	苹果六总闪退玩的恶心
再见	以前打王者是为了快乐 后来慢慢的发现打王者的人脾气越来越不好 提醒别人一两句就直接开口问候你全家人 举报还举报不成功 不充钱永远卡在钻石上不去 也整得我脾气越来越不好 我想想还是卸了 哥哥还想多活几年
垃圾游戏	垃圾，不好好做算法，连赢之后就开始必须输
很卡不流畅基本玩不了，队友电脑	非常的卡，动态效果都关了还是不行。连苹果8都玩不了。还是就是经常匹配到的队友都是电脑人机无脑！
就冲你们不冲钱就不给匹配好队友这样，发誓永远不碰王者荣耀	！，，，，，，，，，
辣鸡游戏	我是真佩服这个游戏，稳赢局队友愣是给你浪输，只剩一个水晶就不推也不团。送人头举报无效我想知道这游戏意义何在
辣鸡	老子连输了十多把，都是坑队友，还玩个锤子，一充钱就赢了
王者荣耀真的是垃圾游戏。	不充钱就让你输充钱就让你赢。你真的垃圾。 希望有一天呢凉凉。
匹配	请问各位领导 给我匹配的都什么队友 本来就冲很多钱了 马上赛季结束了 想上上分 结果了 队友全是0-几 星耀局大哥 我真服了 九连跪 一直输 从星耀二掉到星耀4 以后在也不会支持了 ?? 苹果42区 （来抖音撩顾一）
垃圾游戏	去死吧！bug多的吓人！什么狗游戏！
你想太大，都5给G了，	内存太大，内存大大的，希望改进
玩这游戏有的人素质太低	被人演了，然后因为负战绩被举报，还被扣分，辣鸡游戏举报机制
王者脱坑	要及时脱坑现在太烂了简直比喻不了局局都有坑开始一直送脱坑脱坑
很好玩，同事都在玩。	偶尔回来玩下，掌握游戏时间，玩物丧志！
??	特别好玩爱不释手??
还公平我公平你个鬼啊	我举报挂机的人最多扣了3分，送人头也就扣2分我，别人举报我就扣6我靠了，钱充少了你就这样对待，真的是垃圾游戏！还公平卸载了不玩了，垃圾游戏！拜拜，垃圾游戏！
呵呵	现在打着打着就闪退，闪退出来之后游戏根本就不去
垃圾游戏	那些V7明着送人头你也举报不了，那些充钱的0-9都举报不成功，不充钱的3-8你也死定了，狗天美，垃圾东西
请大家不要玩，动不动就被举报的垃圾游戏马化腾死全家	垃圾游戏还我钱退游戏
就是个垃圾游戏	匹配垃圾，排位垃圾，永远不知道审查机制在干嘛，游戏还这么大，卡死，安卓ios还不互通，祝你们早日倒闭
游戏问题	为什么玩的好还被举报，那些菜的人举报还不成功，别人一举报我就成功，辣鸡游戏
苹果现在下载游戏真难	红
坑	不是361就是201  坑钱的游戏
坑	钱扣了不给点券。 连个客服都没有。整天的忽悠
永远差评	不知道排位是怎么排的，自从重新下载回来每次排位我方都至少有一个挂机、不会玩、练英雄等等，敌方从没出现过挂机行为且至少有一个carry的，水平及其不匹配。
iPadmini5没法打	iPadmini5，什么网都卡，没法打
客服	为什么我的号 好端端 被封了？ 可以有数据吗？ 封10年  非法传播什么了？
垃圾不公平竞争变态只会拖	垃圾游戏
坑，连胜之后必连跪，而且是一连跪几天不是几把差极差差到极点	死坑
闪退	更新后疯狂闪退
破游戏	不知道匹配到底是什么机制，几乎每把我都百分之35以上的输出，但这游戏每把都给我匹配无限送人头的队友，毫无游戏体验感。删了再也不玩了太没劲了！
手机数据互通问题	腾讯有很多游戏都可以实现安卓苹果互通，为什么王者又不可以……想换个华为手机打。真心想不通这个问题，求解答
不要加什么破功能了，先把5v5的崩溃问题解决一下	不要加什么破功能了，能不能先把5v5的崩溃问题解决一下，没有看到游戏的活跃度降低了么？最基本的事情都没有解决好，搞一些花里胡哨的东西有什么用？
无法获得快乐的游戏系列	垃圾游戏，赢多少就安排多少演员给你输多少，一输就无止境
系统太垃圾	一点不公平
换手机就不能继续游戏了	我换一个手机玩就不让我继续游戏 了 什么意思啊
越更新越垃圾，耗流量不说，还占内存，老是卡掉线，天美真的是越做越垃圾了	越更新越垃圾，耗流量不说，还占内存，老是卡掉线，天美真的是越做越垃圾了
天美根本不懂玩家！	什么意思不充钱就无限的给我们挂机的和自以为是的喷子放一起，这样的恶性循环到头来不都要还的吗，祝你今天能爬多高明天就能摔多惨，我只想那是棒打落水狗！！！
垃圾游戏 你们真寄吧搞笑 大家的世界就不是时间了	排位遇到挂机 一局两个射手 一个战士 两个射手互相埋冤 一个战士打了两分钟还挂机上了 输是铁定的了 你们王者荣耀系统最后就补20个积分 你要知道300积分保一星 你就补20积分 垃圾游戏 早死早超生 关门吧
信誉分扣分机制很不公平	别人打的不好举报扣两分四分的我一打不好被举报就是五分，没冲钱的结果，可以给半颗星吗
希望通过预选位置，然后匹配队友	每次排位匹配到的都是喜欢玩一样的位置，要么都是中法，要么都是射手，真的很难玩，希望改进，
买皮肤加攻击 血量公平？？？	买皮肤加攻击 血量公平？？？
垃圾游戏	垃圾游戏
垃圾投诉系统	"别人打得差的（2 3分）的举报从来不成功 
轮到自己6 7分就被举报
没有什么标准 还谈什么公平"
垃圾游戏	什么5V5公平对决，＊＊天美乐色
希望天美能少点演员	希望天美不要雇佣水军来降低游戏体验谢谢！每天都碰到奥斯卡影帝，你是和美国联名了吗！，希望出个智商验证，感恩，
